,composition,Eg (eV)
4648,SmHgPd,0.0
4117,K2Mn3S4,0.0
5701,CeAsSe,0.0
5398,LiBePt2,0.0
5751,NbSiIr,0.0
5395,SmErMg2,0.0
4891,SiSb3,0.0
4983,"TiCr3(PO4)6,146",0.0
5654,CeSi2Pd2,0.0
4593,TbNiO3,0.0
5330,Mn2AlO4,0.0
4991,DyAl8Cu4,0.0
5791,VTe2,0.0
4148,LaV,0.0
4867,"Ti2Sb(PO4)3,167",0.0
5506,ZrCrSi2,0.0
6130,Ca5Sn4S13,0.0
4863,NbSi2,0.0
4490,La2Sn5Rh3,0.0
5590,Na8NbO6,0.0
5377,YbLiF4,0.0
4066,CaVO2,0.0
4333,Cr7C3,0.0
4228,Mg5Ti13O30,0.0
6227,Lu3TlC,0.0
4198,Nb3Ru,0.0
5912,YbSnRh,0.0
5989,TiHgO3,0.0
5204,Li4WO5,0.0
4663,ZrSe,0.0
6055,NaCeS2,0.0
5749,"Li2Ti3FeO8,166",0.0
4031,"Sm2CuAs3O,62",0.0
5952,Nd2Ni7P4,0.0
5673,ErLu3,0.0
5312,"YbBa2(CuO2)4,65",0.0
5070,Lu2Mo2C3,0.0
5884,GdSe2,0.0
4129,"Cu3Se2(ClO3)2,12",0.0
5758,ZrInCu2,0.0
5920,UB4H16,0.0
3916,MgSc,0.0
6200,"Cu4H10SO12,7",0.0
4026,Eu2Ga9Rh3,0.0
6185,YAl8Cu4,0.0
4000,Nd2IrPd,0.0
3993,Cr10Sb3Te7,0.0
6088,Hg3As,0.0
5850,"YTi4(CuO4)3,204",0.0
4883,"Te2Mo2WSe4,156",0.0
5691,Li3Mn4O8,0.0
4752,CaZn3Ni2,0.0
5135,LaSi,0.0
4546,CaB2C2,0.0
4251,Mg3Mn2Al18,0.0
5262,LiCa2In,0.0
5885,"Li4NbNi3O8,166",0.0
4263,YSiRu,0.0
4737,NdSbPd,0.0
4024,"YCu3(WO3)4,2",0.0
4320,NdCo2Ge2,0.0
5275,"NdCu3(RuO3)4,204",0.0
5468,EuCo8P5,0.0
5145,BeSiOs2,0.0
3919,Sr8Fe3N8,0.0
6156,Li2SnIr,0.0
4173,DyIr2,0.0
4718,Tl3Ir,0.0
5197,LuIr2,0.0
4244,Ta22Cu3S36,0.0
5438,Y2ReB6,0.0
6222,MgRh2Pb,0.0
4741,TaGaPt,0.0
5272,TmMn6Ge6,0.0
5546,Ba5Sb3,0.0
4519,Zn8Ag5,0.0
4175,Mn3Al10,0.0
4847,MgTl,0.0
5424,ThFe2Ge2,0.0
6183,CeH3O3,0.0
4754,TiZn3,0.0
4342,PrGaAu2,0.0
4428,FeCo2Si,0.0
5875,"LuU2S3O2,139",0.0
4229,ZrSiTe,0.0
5913,"Ca2MnAlO5,46",0.0
5529,Mg2SiPt,0.0
4975,ErNi4Au,0.0
4589,Cr2HgSe4,0.0
6204,PmGaAu2,0.0
4160,NaTi5Se8,0.0
4194,LuC2,0.0
4892,Sc8Te3,0.0
4322,Yb3Al5O12,0.0
4606,DyBiPd,0.0
4622,Na2LiTa,0.0
4672,YbTlS2,0.0
4842,"La2Nb2N2O5,1",0.0
5678,"Rb2Na2IrO4,14",0.0
5724,Ca2ZnRh,0.0
5297,SmTmZn2,0.0
4988,CsAgCl3,0.0
5385,ScPPt,0.0
4315,Tm3Ge4Pd4,0.0
4673,"Li2Fe3SnO8,4",0.0
4106,Cs2Mo15S19,0.0
3897,Al13Ru4,0.0
4209,Ga2NiS4,0.0
5641,NdTlAg2,0.0
6036,CeCdAu2,0.0
4676,Dy2MgTl,0.0
4938,"Li3Ti3(PO4)4,4",0.0
4748,Si4Cu5O14,0.0
5227,Sc2P3O12,0.0
5619,Mn3PtN,0.0
5750,MnNiP,0.0
6064,Co7Re17O48,0.0
4463,TaNiB2,0.0
4834,Na2In,0.0
5257,"Li2MnCo3O8,5",0.0
4702,TmCu4Ag,0.0
4558,YbAl2Ga2,0.0
4250,"Nb4Co2PdSe12,12",0.0
4363,LuScRh2,0.0
4704,Mg2CrN2,0.0
4088,EuMg2Bi2,0.0
6079,Zr5SiSb3,0.0
6043,ThAl8Fe4,0.0
5215,MgCuSb,0.0
6216,Ce4Si3Rh4,0.0
5402,"Cu9Se4(Cl3O7)2,12",0.0
5216,Li3FeS3,0.0
3968,NaNi2O3,0.0
4231,LuSiIr,0.0
6160,Zr3Ag,0.0
5971,EuBi3,0.0
5373,Hf4Co4Si7,0.0
5479,Hf5Sb9,0.0
4425,CeB2Ir3,0.0
5954,U2AlCo2,0.0
5739,Ca3PbN,0.0
6008,PrAl3Ni2,0.0
5656,"Sr5Cd2Sb5F,63",0.0
4932,ErZn12,0.0
4887,ReF6,0.0
4954,Al5Rh2,0.0
4384,MgIn3,0.0
4759,DyGe,0.0
4405,Hg2Sb2O7,0.0
6315,Li2V2F7,0.0
